Start Date;End Date;Duration (in seconds);In the previous screen, there was a word that did not make any sense in the text. What was it?;How many ounces of these nuts would you likely buy at the store?;"Please recall your decision process on the previous page. 
To what extent do you agree/disagree with the following statements about you? - I first estimated my consumption quantity of the advertised product in a day, and then adjusted it upward to get my purchase quantity for a month.";Did you make any kind of upward adjustment (e.g., you first came up with 2 and then used 5 as your purchase quantity) in your estimation process? - Amount of upward adjustment (oz.);whether DV>= upward adjustment;Was it easy/difficult for you to estimate how many ounces to buy in the above situation?;How many ounces of these nuts would you likely buy at the store?;"Please recall your decision process on the previous page. 
To what extent do you agree/disagree with the following statements about you? - I first estimated my consumption quantity of the advertised product in a day, and then adjusted it upward to get my purchase quantity for a month.";Did you make any kind of upward adjustment (e.g., you first came up with 2 and then used 5 as your purchase quantity) in your estimation process? - Amount of upward adjustment (oz.);whether DV>= upward adjustment;Was it easy/difficult for you to estimate how many ounces to buy in the above situation?;Are you the primary grocery shopper in your family?;Did you find the above situation difficult to imagine?;How often do you eat walnuts, pecans or almonds in real life?;How many people are there in your household?;How many people did you consider when you were deciding your purchase quantity in the above situation?;Could you tell us your household annual income (in US $)?;Have you participated in a very similar study before?;Your gender:;Your age:
05.06.2023 11:18;05.06.2023 11:21;205;5;;;;;;12;1;0;1;-2;1;0;4;2;2;11;99;1;42
05.06.2023 11:18;05.06.2023 11:23;296;5;;;;;;100;4;100;1;-1;1;1;3;2;3;7;99;1;25
05.06.2023 11:18;05.06.2023 11:22;247;5;;;;;;84;2;0;1;-1;1;0;4;3;3;1;99;1;52
05.06.2023 11:18;05.06.2023 11:20;103;5;;;;;;5;4;2;1;-1;1;1;2;4;4;10;99;0;24
05.06.2023 11:18;05.06.2023 11:22;221;5;;;;;;1;2;1;1;-2;1;0;2;1;1;3;99;1;29
05.06.2023 11:18;05.06.2023 11:20;117;5;10;4;0;1;-2;;;;;;0;0;3;3;1;12;99;1;19
05.06.2023 11:18;05.06.2023 11:20;116;5;;;;;;10;5;0;1;-1;1;1;3;4;1;12;99;1;37
05.06.2023 11:18;05.06.2023 11:21;204;5;48;1;16;1;1;;;;;;1;2;1;2;1;12;99;0;44
05.06.2023 11:18;05.06.2023 11:22;239;5;0;1;0;1;0;;;;;;1;0;3;1;1;7;99;1;49
05.06.2023 11:18;05.06.2023 11:20;126;5;16;2;0;1;0;;;;;;1;1;2;8;8;12;99;0;43
05.06.2023 11:18;05.06.2023 11:24;370;5;;;;;;10;5;9;1;-2;1;0;4;5;5;10;99;1;43
05.06.2023 11:18;05.06.2023 11:21;154;5;;;;;;8;5;2;1;-1;1;0;3;1;1;8;99;0;55
05.06.2023 11:18;05.06.2023 11:22;252;5;;;;;;32;5;2;1;-1;1;0;4;3;2;11;99;0;57
05.06.2023 11:18;05.06.2023 11:22;262;5;;;;;;15;2;1;1;-1;1;3;3;2;2;7;99;0;58
05.06.2023 11:18;05.06.2023 11:21;159;5;8;1;0;1;-1;;;;;;1;1;3;3;1;3;99;0;37
05.06.2023 11:18;05.06.2023 11:26;475;5;0;2;0;1;-2;;;;;;1;0;2;4;1;7;99;1;47
05.06.2023 11:18;05.06.2023 11:20;106;5;;;;;;16;2;0;1;1;1;1;3;4;4;7;99;0;39
05.06.2023 11:18;05.06.2023 11:20;88;5;;;;;;0;1;0;1;-2;1;4;3;2;2;7;99;1;39
05.06.2023 11:18;05.06.2023 11:22;253;5;;;;;;16;5;7;1;-2;1;0;4;5;1;7;99;0;29
05.06.2023 11:18;05.06.2023 11:30;704;5;;;;;;2;3;1;1;-1;1;3;2;2;1;9;99;1;26
05.06.2023 11:18;05.06.2023 11:22;212;5;;;;;;3;2;2;1;-1;1;1;2;3;1;6;99;0;30
05.06.2023 11:18;05.06.2023 11:22;212;5;2;2;1;1;-1;;;;;;1;0;2;3;1;3;99;1;53
05.06.2023 11:18;05.06.2023 11:20;81;5;;;;;;0;2;0;1;-2;1;0;1;1;1;8;99;1;51
05.06.2023 11:18;05.06.2023 11:23;266;5;;;;;;0;1;0;1;0;1;0;3;5;5;11;99;0;56
05.06.2023 11:18;05.06.2023 11:21;179;5;;;;;;32;5;16;1;-1;1;0;2;2;2;3;99;0;35
05.06.2023 11:18;05.06.2023 11:21;154;5;10;1;0;1;1;;;;;;1;1;1;1;1;5;99;9999;25
05.06.2023 11:18;05.06.2023 11:20;102;5;;;;;;10;5;0;1;-2;1;0;2;2;2;9;99;0;42
05.06.2023 11:18;05.06.2023 11:24;328;5;;;;;;10;2;9;1;-2;1;0;3;1;1;9;99;1;27
05.06.2023 11:18;05.06.2023 11:25;402;5;;;;;;15;2;5;1;0;1;1;1;4;4;8;99;1;47
05.06.2023 11:18;05.06.2023 11:22;196;5;;;;;;6;5;0;1;-2;1;0;4;2;2;11;99;1;41
05.06.2023 11:18;05.06.2023 11:20;125;5;5;1;0;1;-2;;;;;;1;0;3;1;1;3;99;0;25
05.06.2023 11:18;05.06.2023 11:23;268;5;30;4;30;1;1;;;;;;1;1;2;4;3;11;99;0;34
05.06.2023 11:18;05.06.2023 11:23;275;5;10;2;0;1;-2;;;;;;1;0;2;1;1;2;99;0;31
05.06.2023 11:18;05.06.2023 11:24;332;5;;;;;;60;1;1;1;-1;1;0;4;1;1;1;99;0;58
05.06.2023 11:18;05.06.2023 11:20;109;5;0;5;0;1;-2;;;;;;1;0;1;2;2;4;99;0;29
05.06.2023 11:18;05.06.2023 11:24;313;5;;;;;;13;5;9;1;-2;1;0;4;1;1;9;99;1;27
05.06.2023 11:18;05.06.2023 11:20;122;5;;;;;;0;1;0;1;-2;1;0;1;1;1;7;99;1;46
05.06.2023 11:18;05.06.2023 11:22;242;5;20;5;10;1;1;;;;;;1;3;3;4;3;5;99;0;36
05.06.2023 11:18;05.06.2023 11:22;200;5;5;1;1;1;-1;;;;;;1;0;3;3;3;11;99;0;28
05.06.2023 11:18;05.06.2023 11:21;137;5;3;1;0;1;1;;;;;;1;0;2;2;2;10;99;0;30
05.06.2023 11:18;05.06.2023 11:25;393;5;20;4;0;1;-2;;;;;;1;4;4;4;3;11;99;0;31
05.06.2023 11:18;05.06.2023 11:21;130;5;;;;;;3;2;3;1;-1;1;1;2;2;1;10;99;0;45
05.06.2023 11:18;05.06.2023 11:21;158;5;;;;;;10;1;10;1;-2;1;0;3;4;1;3;99;1;29
05.06.2023 11:18;05.06.2023 11:22;185;5;;;;;;10;2;10;1;-1;1;0;2;2;2;8;99;1;46
05.06.2023 11:18;05.06.2023 11:22;234;5;;;;;;6;4;0;1;1;0;3;1;3;1;11;99;1;72
05.06.2023 11:19;05.06.2023 11:20;87;5;16;2;0;1;-1;;;;;;1;2;3;5;3;10;99;0;37
05.06.2023 11:19;05.06.2023 11:21;175;5;36;4;16;1;-1;;;;;;1;3;2;2;2;7;99;0;57
05.06.2023 11:19;05.06.2023 11:26;452;5;10;4;0;1;-2;;;;;;0;3;3;4;2;11;99;1;31
05.06.2023 11:19;05.06.2023 11:21;158;5;16;5;8;1;-1;;;;;;1;1;3;4;1;7;99;1;43
05.06.2023 11:19;05.06.2023 11:24;300;5;14;2;10;1;0;;;;;;0;1;3;3;3;4;99;0;23
05.06.2023 11:19;05.06.2023 11:21;146;5;12;1;2;1;0;;;;;;1;0;2;3;3;10;99;0;53
05.06.2023 11:19;05.06.2023 11:21;171;5;2;1;0;1;0;;;;;;1;1;3;3;2;9;99;0;39
05.06.2023 11:19;05.06.2023 11:27;498;5;;;;;;25;5;5;1;-1;1;0;4;6;1;9;99;0;36
05.06.2023 11:19;05.06.2023 11:22;229;5;16;2;10;1;1;;;;;;1;3;2;5;4;6;99;0;33
05.06.2023 11:19;05.06.2023 11:23;291;5;;;;;;16;5;1;1;-2;0;0;2;3;3;5;99;1;68
05.06.2023 11:19;05.06.2023 11:26;451;5;5;3;3;1;1;;;;;;1;1;3;3;3;7;99;0;48
05.06.2023 11:19;05.06.2023 11:22;182;5;;;;;;16;2;0;1;-1;1;0;4;1;1;11;99;0;61
05.06.2023 11:19;05.06.2023 11:23;242;5;;;;;;10;5;0;1;1;0;3;2;4;0;5;99;1;18
05.06.2023 11:19;05.06.2023 11:23;258;5;10;2;0;1;-2;;;;;;1;0;3;2;2;4;99;0;54
05.06.2023 11:19;05.06.2023 11:22;193;5;12;5;5;1;-1;;;;;;1;1;3;3;3;1;99;0;59
05.06.2023 11:19;05.06.2023 11:25;372;5;;;;;;5;2;3;1;0;0;3;3;3;3;2;99;0;25
05.06.2023 11:19;05.06.2023 11:22;215;5;2;2;0;1;1;;;;;;1;3;1;1;1;4;99;0;56
05.06.2023 11:19;05.06.2023 11:23;254;5;7;3;3;1;-2;;;;;;1;0;2;5;5;4;0;0;30
05.06.2023 11:19;05.06.2023 11:23;247;5;3;2;0;1;1;;;;;;1;1;2;4;3;10;99;0;33
05.06.2023 11:19;05.06.2023 11:21;161;5;;;;;;32;1;16;1;-2;1;0;4;2;1;6;99;0;43
05.06.2023 11:19;05.06.2023 11:21;139;5;;;;;;3;2;2;1;-1;1;0;3;1;1;5;99;1;50
05.06.2023 11:19;05.06.2023 11:25;372;5;;;;;;2;5;1;1;-2;1;0;4;5;5;8;99;0;44
05.06.2023 11:19;05.06.2023 11:26;406;5;16;1;0;1;-2;;;;;;1;0;2;54;4;1;0;0;56
05.06.2023 11:19;05.06.2023 11:22;192;5;;;;;;16;2;0;1;-1;1;0;3;1;1;1;99;1;34
05.06.2023 11:19;05.06.2023 11:24;287;5;;;;;;5;2;0;1;-2;1;0;2;1;1;4;99;0;37
05.06.2023 11:19;05.06.2023 11:24;313;5;;;;;;60;5;0;1;1;1;1;3;1;1;4;99;1;70
05.06.2023 11:19;05.06.2023 11:23;271;5;10;4;2;1;0;;;;;;1;1;2;2;2;7;99;1;55
05.06.2023 11:19;05.06.2023 11:21;112;5;16;4;8;1;-1;;;;;;1;0;3;4;1;10;99;1;27
05.06.2023 11:19;05.06.2023 11:23;269;5;10;2;0;1;1;;;;;;1;3;2;2;2;4;99;1;72
05.06.2023 11:19;05.06.2023 11:22;169;5;;;;;;5;3;0;1;-1;0;1;3;3;3;11;99;1;28
05.06.2023 11:19;05.06.2023 11:22;183;5;;;;;;16;5;16;1;-2;0;0;2;3;1;12;99;1;32
05.06.2023 11:19;05.06.2023 11:21;110;5;0;1;0;1;-2;;;;;;1;0;1;2;0;4;99;0;48
05.06.2023 11:19;05.06.2023 11:25;334;5;0;1;0;1;0;;;;;;1;2;1;2;2;6;99;0;28
05.06.2023 11:19;05.06.2023 11:23;214;5;;;;;;2;1;0;1;-2;0;0;2;3;1;4;99;0;42
05.06.2023 11:19;05.06.2023 11:21;108;5;10;4;10;1;-1;;;;;;1;1;3;3;3;4;99;1;26
05.06.2023 11:19;05.06.2023 11:21;142;5;5;3;3;1;1;;;;;;1;2;2;4;1;3;99;0;67
05.06.2023 11:19;05.06.2023 11:21;134;5;;;;;;20;4;10;1;1;1;1;3;3;3;8;99;1;22
05.06.2023 11:19;05.06.2023 11:22;146;5;12;1;0;1;-1;;;;;;0;0;2;6;2;10;99;1;40
05.06.2023 11:19;05.06.2023 11:21;138;5;;;;;;3;2;1;1;2;1;3;2;4;1;6;99;0;23
05.06.2023 11:19;05.06.2023 11:22;174;5;;;;;;32;1;0;1;-2;1;0;2;2;2;4;99;0;54
05.06.2023 11:19;05.06.2023 11:20;80;5;;;;;;4;2;0;1;-2;1;0;2;3;2;11;99;1;56
05.06.2023 11:19;05.06.2023 11:21;112;5;10;1;0;1;-2;;;;;;1;0;3;4;1;11;99;0;35
05.06.2023 11:19;05.06.2023 11:22;157;5;2;2;1;1;1;;;;;;0;3;2;2;2;2;99;0;34
05.06.2023 11:19;05.06.2023 11:22;184;5;6;2;1;1;-1;;;;;;1;1;2;2;2;8;99;1;24
05.06.2023 11:19;05.06.2023 11:27;473;5;;;;;;10;5;5;1;-1;1;0;3;2;2;5;99;0;64
05.06.2023 11:19;05.06.2023 11:23;237;5;5;2;0;1;-1;;;;;;1;0;2;2;1;4;99;1;37
05.06.2023 11:19;05.06.2023 11:23;216;5;4;1;0;1;-1;;;;;;1;0;2;2;2;6;99;0;55
05.06.2023 11:19;05.06.2023 11:21;103;5;;;;;;12;1;4;1;-1;1;0;2;2;2;7;99;1;31
05.06.2023 11:19;05.06.2023 11:23;203;5;;;;;;10;1;0;1;2;1;0;2;3;1;8;99;0;45
05.06.2023 11:19;05.06.2023 11:23;208;5;;;;;;16;2;8;1;-1;1;0;2;2;2;5;99;0;55
05.06.2023 11:19;05.06.2023 11:29;570;5;16;1;8;1;-2;;;;;;1;0;2;2;2;4;99;1;39
05.06.2023 11:19;05.06.2023 11:22;153;5;;;;;;30;1;0;1;-1;1;1;2;2;1;8;99;0;33
05.06.2023 11:19;05.06.2023 11:23;202;5;8;1;0;1;2;;;;;;1;3;2;3;2;7;99;0;43
05.06.2023 11:19;05.06.2023 11:22;161;5;;;;;;10;2;1;1;1;1;1;2;3;1;5;99;0;38
05.06.2023 11:19;05.06.2023 11:21;103;5;;;;;;20;5;5;1;-1;1;0;3;1;1;4;99;0;52
05.06.2023 11:19;05.06.2023 11:28;516;5;6;3;0;1;-1;;;;;;0;0;2;3;3;10;99;1;29
05.06.2023 11:19;05.06.2023 11:22;168;5;48;1;0;1;-2;;;;;;1;0;2;2;1;5;99;1;49
05.06.2023 11:19;05.06.2023 11:21;89;5;6;4;2;1;-1;;;;;;1;1;2;2;2;12;99;1;54
05.06.2023 11:19;05.06.2023 11:21;114;5;3;1;0;1;1;;;;;;1;2;2;2;1;9;99;0;36
05.06.2023 11:19;05.06.2023 11:22;155;5;;;;;;10;5;5;1;-1;1;1;4;2;2;12;99;0;45
05.06.2023 11:19;05.06.2023 11:22;135;5;8;1;0;1;-2;;;;;;1;0;4;2;1;11;99;0;59
05.06.2023 11:19;05.06.2023 11:23;234;5;5;3;3;1;-1;;;;;;1;2;2;2;2;2;99;1;33
05.06.2023 11:19;05.06.2023 11:27;444;5;;;;;;15;2;0;1;-2;0;3;3;4;4;11;99;1;32
05.06.2023 11:19;05.06.2023 11:22;169;5;;;;;;10;1;0;1;-2;1;0;4;2;1;10;99;0;42
05.06.2023 11:19;05.06.2023 11:24;267;5;5;3;2;1;-1;;;;;;0;0;2;3;3;7;99;1;38
05.06.2023 11:19;05.06.2023 11:21;67;5;16;3;4;1;-1;;;;;;1;1;3;1;1;12;99;0;37
05.06.2023 11:19;05.06.2023 11:22;147;5;0;1;0;1;-2;;;;;;0;1;1;2;2;10;99;1;52
05.06.2023 11:19;05.06.2023 11:24;242;5;;;;;;19;5;10;1;0;1;3;3;2;1;6;0;0;48
05.06.2023 11:19;05.06.2023 11:25;305;5;;;;;;30;5;2;1;-2;1;0;3;5;1;4;99;0;33
05.06.2023 11:19;05.06.2023 11:25;354;5;3;5;1;1;-2;;;;;;0;0;2;5;1;10;99;1;28
05.06.2023 11:19;05.06.2023 11:21;86;5;3;2;0;1;-1;;;;;;1;0;2;4;2;11;99;1;52
05.06.2023 11:20;05.06.2023 11:22;133;5;16;1;0;1;-2;;;;;;1;0;2;4;1;12;99;1;43
05.06.2023 11:20;05.06.2023 11:22;135;5;;;;;;8;4;0;1;-1;1;1;3;3;1;7;99;1;39
05.06.2023 11:20;05.06.2023 11:22;123;5;4;1;2;1;-1;;;;;;1;0;1;1;1;5;99;0;26
05.06.2023 11:20;05.06.2023 11:22;128;5;;;;;;30;5;15;1;1;1;1;3;3;3;11;99;1;22
05.06.2023 11:20;05.06.2023 11:24;240;5;;;;;;12;2;2;1;-1;1;0;2;4;2;11;99;0;44
05.06.2023 11:20;05.06.2023 11:25;299;5;;;;;;20;5;0;1;-1;1;1;4;1;1;7;99;1;30
05.06.2023 11:20;05.06.2023 11:21;91;5;10;3;5;1;0;;;;;;1;1;3;3;1;12;99;0;33
05.06.2023 11:20;05.06.2023 11:23;182;5;;;;;;10;4;4;1;0;1;1;4;1;1;3;99;1;52
05.06.2023 11:20;05.06.2023 11:24;263;5;;;;;;16;1;0;1;-1;1;0;4;2;2;3;99;0;62
05.06.2023 11:20;05.06.2023 11:22;122;5;10;3;0;1;-1;;;;;;1;1;3;4;0;2;99;1;32
05.06.2023 11:20;05.06.2023 11:21;107;5;;;;;;10;5;8;1;1;1;1;4;1;1;7;99;0;39
05.06.2023 11:20;05.06.2023 11:22;152;5;;;;;;3;2;0;1;-1;1;1;2;2;2;3;99;1;38
05.06.2023 11:20;05.06.2023 11:22;153;5;10;3;10;1;-1;;;;;;1;0;2;3;3;11;99;0;61
05.06.2023 11:20;05.06.2023 11:24;245;5;10;1;10;1;1;;;;;;1;4;2;2;1;9;99;1;50
05.06.2023 11:20;05.06.2023 11:23;208;5;;;;;;0;1;0;1;-2;0;0;1;3;1;9;99;0;41
05.06.2023 11:20;05.06.2023 11:23;226;5;;;;;;15;;0;1;-1;1;0;3;2;2;5;99;1;75
05.06.2023 11:20;05.06.2023 11:23;170;5;3;4;2;1;-1;;;;;;1;0;2;2;1;1;99;0;20
05.06.2023 11:20;05.06.2023 11:26;368;5;3;2;0;1;1;;;;;;1;1;2;3;2;9;99;0;31
05.06.2023 11:20;05.06.2023 11:22;133;5;8;2;0;1;-1;;;;;;1;0;3;4;4;12;99;0;44
05.06.2023 11:20;05.06.2023 11:23;168;5;;;;;;32;2;10;1;-1;1;0;4;2;2;5;99;0;61
05.06.2023 11:20;05.06.2023 11:23;203;5;8;1;0;1;2;;;;;;1;0;3;2;1;2;99;0;36
05.06.2023 11:20;05.06.2023 11:25;333;5;7;5;2;1;-1;;;;;;1;1;2;6;3;11;99;0;42
05.06.2023 11:20;05.06.2023 11:22;139;5;10;3;5;1;-1;;;;;;1;0;2;2;2;5;99;0;31
05.06.2023 11:20;05.06.2023 11:21;95;5;;;;;;6;;3;1;-2;1;0;3;3;1;8;99;0;32
05.06.2023 11:20;05.06.2023 11:23;168;5;6;1;3;1;-1;;;;;;0;0;2;4;1;6;99;1;26
05.06.2023 11:20;05.06.2023 11:23;193;5;;;;;;30;5;5;1;-2;1;0;4;1;1;2;99;0;50
05.06.2023 11:20;05.06.2023 11:21;73;5;2;2;1;1;2;;;;;;1;1;2;1;1;9;99;1;27
05.06.2023 11:20;05.06.2023 11:22;108;5;16;1;0;1;-2;;;;;;1;3;4;4;4;12;99;1;38
05.06.2023 11:20;05.06.2023 11:22;139;5;;;;;;5;2;0;1;1;1;0;2;3;2;11;0;1;34
05.06.2023 11:20;05.06.2023 11:24;242;5;4;4;4;1;1;;;;;;1;3;2;3;1;1;99;0;25
05.06.2023 11:20;05.06.2023 11:23;177;5;;;;;;3;3;0;1;1;1;1;2;1;1;7;99;0;28
05.06.2023 11:20;05.06.2023 11:23;189;5;;;;;;10;2;5;1;0;0;0;2;6;1;6;99;0;23
05.06.2023 11:20;05.06.2023 11:24;253;5;10;2;0;1;0;;;;;;1;1;3;2;2;9;99;0;45
05.06.2023 11:20;05.06.2023 11:23;156;5;2;1;0;1;0;;;;;;1;1;3;1;1;3;99;0;50
05.06.2023 11:20;05.06.2023 11:24;215;5;;;;;;32;5;12;1;-2;0;1;3;5;1;6;99;0;41
05.06.2023 11:20;05.06.2023 11:28;479;5;;;;;;20;5;10;1;-1;0;1;2;4;0;5;99;0;54
05.06.2023 11:20;05.06.2023 11:26;329;5;4;2;2;1;1;;;;;;0;0;2;4;1;8;0;1;27
05.06.2023 11:20;05.06.2023 11:26;353;5;12;4;3;1;-1;;;;;;1;2;3;2;2;3;99;1;29
05.06.2023 11:20;05.06.2023 11:25;297;5;24;4;12;1;-1;;;;;;1;0;3;5;1;10;0;1;27
05.06.2023 11:20;05.06.2023 11:23;151;5;;;;;;30;5;10;1;1;1;3;3;4;2;10;99;1;42
05.06.2023 11:21;05.06.2023 11:23;124;5;6;2;4;1;-2;;;;;;1;0;3;3;1;8;99;1;28
05.06.2023 11:21;05.06.2023 11:25;237;5;;;;;;30;4;17;1;1;1;3;4;1;1;3;99;1;31
05.06.2023 11:21;05.06.2023 11:23;96;5;;;;;;15;5;9;1;-2;1;0;4;3;3;6;99;1;40
05.06.2023 11:21;05.06.2023 11:23;75;5;5;4;5;1;-1;;;;;;1;0;2;3;3;12;99;1;31
05.06.2023 11:21;05.06.2023 11:23;96;5;;;;;;16;1;0;1;0;1;0;2;1;1;5;99;9;38
05.06.2023 11:22;05.06.2023 11:27;311;5;;;;;;7;5;2;1;0;1;1;3;4;2;4;99;0;36
05.06.2023 11:22;05.06.2023 11:26;229;5;;;;;;4;1;0;1;-1;1;4;2;2;1;7;99;1;57
05.06.2023 11:22;05.06.2023 11:27;283;5;5;4;5;1;-1;;;;;;1;3;2;2;1;3;0;1;28
05.06.2023 11:23;05.06.2023 11:26;188;5;;;;;;20;5;10;1;-1;1;0;3;2;2;8;99;1;27
05.06.2023 11:23;05.06.2023 11:25;151;5;10;2;5;1;-1;;;;;;1;1;4;3;1;7;0;1;42
05.06.2023 11:25;05.06.2023 11:28;199;5;;;;;;55;5;50;1;-2;1;3;4;4;4;12;0;1;34
05.06.2023 11:25;05.06.2023 11:28;146;5;5;1;0;1;1;;;;;;1;1;3;3;2;8;0;0;34
05.06.2023 11:27;05.06.2023 11:28;61;5;3;3;3;1;0;;;;;;1;4;2;2;2;10;0;0;28
05.06.2023 11:33;05.06.2023 11:36;137;5;4;1;0;1;1;;;;;;1;3;1;4;4;11;0;1;43
05.06.2023 11:34;05.06.2023 11:36;131;5;0;;0;1;-2;;;;;;1;0;1;5;5;11;0;1;45
05.06.2023 11:50;05.06.2023 11:52;88;5;16;5;1;1;-1;;;;;;0;1;2;3;3;11;0;1;40
05.06.2023 11:20;05.06.2023 11:28;479;5;;;;;;20;5;10;1;-1;0;1;2;4;0;5;99;0;54
05.06.2023 11:20;05.06.2023 11:23;151;5;;;;;;30;5;10;1;1;1;3;3;4;2;10;99;1;42
05.06.2023 11:21;05.06.2023 11:25;237;5;;;;;;30;4;17;1;1;1;3;4;1;1;3;99;1;31
05.06.2023 11:21;05.06.2023 11:23;96;5;;;;;;15;5;9;1;-2;1;0;4;3;3;6;99;1;40
05.06.2023 11:21;05.06.2023 11:23;96;5;;;;;;16;1;0;1;0;1;0;2;1;1;5;99;9;38
05.06.2023 11:22;05.06.2023 11:27;311;5;;;;;;7;5;2;1;0;1;1;3;4;2;4;99;0;36
05.06.2023 11:22;05.06.2023 11:26;229;5;;;;;;4;1;0;1;-1;1;4;2;2;1;7;99;1;57
05.06.2023 11:23;05.06.2023 11:26;188;5;;;;;;20;5;10;1;-1;1;0;3;2;2;8;99;1;27
05.06.2023 11:25;05.06.2023 11:28;199;5;;;;;;55;5;50;1;-2;1;3;4;4;4;12;0;1;34
